mode,description,macro_f05,precision,recall,us_f05,india_f05,singleton_acc,multi_f05,multi_5_f05,cand_recall,runtime_s
A,Raw Only (Basic Lowercase),0.53738,0.56679,0.61703,0.59033,0.46199,0.18456,0.57247,0.65872,75.25052435329759,13.661258935928345
B,Unicode / Whitespace Hygiene,0.55608,0.58808,0.62973,0.60836,0.48165,0.19463,0.59142,0.6771,75.25052435329759,13.67799425125122
C,Punctuation Normalization,0.72007,0.77429,0.69855,0.77744,0.6384,0.42953,0.75072,0.80448,75.25052435329759,12.933764696121216
D,Abbreviation Normalization (& / Rd / St),0.72026,0.77475,0.69843,0.77744,0.63886,0.42953,0.75093,0.80456,75.25052435329759,12.325333833694458
E,Legal-Suffix Representation,0.81367,0.88882,0.66765,0.88162,0.71692,0.88926,0.82014,0.84632,75.25052435329759,10.235876083374023
F,Token Sorting Representation,0.81745,0.89121,0.67336,0.88366,0.7232,0.88926,0.82427,0.85118,75.25052435329759,10.34280514717102
G,Numeric / Address Normalization,0.81367,0.88882,0.66765,0.88162,0.71692,0.88926,0.82014,0.84632,75.25052435329759,10.365059614181519
H,Full Canonical Cleaned Representation,0.81367,0.88882,0.66765,0.88162,0.71692,0.88926,0.82014,0.84632,75.25052435329759,10.512298583984375
